"Ticker";"Group";"Sector";"Sub_Theme";"Price";"ATR25";"ATR_pct";"Entry_Long";"Stop_Long";"Target_Long";"RR";"Filters_Pass";"G1";"G2";"G3";"G4";"G5";"Signal";"Key_Thesis";"Key_Risk"
"NTR";"Equity";"Agriculture";"Potash/fertilizer";82,85;2,322;2,8;88,65;85,17;96,78;2,33;4;TRUE;FALSE;TRUE;TRUE;TRUE;"TRADE";"Iran war grain shock; DI+ strong; breakout candidate";"G2 ATR expanding; not coiling yet"
"OXY";"Equity";"Energy";"Oil E&P";57,88;1,774;3,06;62,31;59,65;68,52;2,33;4;TRUE;FALSE;TRUE;TRUE;TRUE;"TRADE";"Energy bid; Iran premium; vol confirmed; ATR expanding";"G2 ATR expanding; oil pullback risk"
"ADM";"Equity";"Agriculture";"Ag processing";71,98;2,042;2,84;77,09;74,03;84,24;2,33;3;TRUE;FALSE;FALSE;TRUE;TRUE;"WATCH";"Grain supply disruption; volume confirmed; ADX weak";"ADX 17 below threshold; weak trend"
"XOM";"Equity";"Energy";"Oil major";156,12;3,59;2,3;165,09;159,71;177,65;2,33;3;TRUE;FALSE;TRUE;FALSE;TRUE;"WATCH";"Oil major; Iran premium; DI+ confirmed";"G4 volume not confirmed"
"EWZ";"Geo ETF";"LatAm";"Brazil commodity EM";36,44;;;;;;2,33;;;;;;;"PENDING";"FX tailwind BRL; Vale+Petrobras+Nu Holdings; P/E 10.5x; Selic cuts mid-2026; Druckenmiller large position; +56% 1yr";"Selic 15% highest since 2006; Lula fiscal concerns; gross debt 84% GDP; Strong Sell technical signal"
"EWW";"Geo ETF";"LatAm";"Mexico nearshoring";73,89;;;;;;2,33;;;;;;;"PENDING";"Nearshoring+USMCA beneficiary; Sheinbaum managed Trump; tariff reprieve; Feb +7.7% #1 EM; P/E 13x; +52% 1yr";"USMCA renegotiation risk; Morena reforms; FDI declining; Strong Sell technical signal"
"EWC";"Geo ETF";"North America";"Canada energy+materials";57,59;;;;;;2,33;;;;;;;"PENDING";"At 52w high $57.76; Strong Buy signal; energy+materials; Canada-US tariff reprieve; +37% 1yr";"25% retaliatory auto tariffs risk; USMCA renegotiation; CAD volatility"
"EWY";"Geo ETF";"Asia-Pacific";"South Korea semis";124,15;;;;;;2,33;;;;;;;"PENDING";"Samsung+SK Hynix 50% of fund; memory supercycle; P/E 10.7x extremely cheap; +146% 1yr";"Trump 25% tariff threat; -10.3% drop Mar 3; pulled back from $154 high; Sell signal"
"ARGT";"Geo ETF";"LatAm";"Argentina reform play";87,07;;;;;;2,33;;;;;;;"PENDING";"Milei reform trajectory; disinflation; fiscal surplus achieved; IMF support; P/E 12.6x";"Peronist electoral wins; Milei governability doubts; peso volatility; wide bid-ask spread; -8% YTD; Strong Sell"
"EWA";"Geo ETF";"Asia-Pacific";"Australia resources+banks";28;;;;;;2,33;;;;;;;"PENDING";"At/near 52w high; BHP+CBA; materials+financials; China-Australia trade normalisation; +30% 1yr";"RBA rate path uncertainty; BHP China exposure; AUD commodity sensitivity"
"INDA";"Geo ETF";"Asia-Pacific";"India structural growth";52;;;;;;2,33;;;;;;;"PENDING";"Structural India growth; China+1 nearshoring; domestic consumption; Modi policy; IT services";"Premium valuation vs EM peers; INR sensitivity; US tariff exposure"
"MCHI";"Geo ETF";"Asia-Pacific";"China policy-driven";52;;;;;;2,33;;;;;;;"PENDING";"PBOC stimulus; Tencent+Alibaba+CATL; CSI 300 52w low to high in weeks; US-China summit Apr 1 catalyst";"Section 301 probe; tariff escalation; Taiwan risk; regulatory unpredictability"
"CACI";"Equity";"Defense";"Govt IT services";606,72;22,987;3,79;664,19;629,71;744,64;2,33;2;TRUE;FALSE;FALSE;FALSE;TRUE;"SKIP";"Defense budget boom; above MA100; near setup";"ADX 17; G3 borderline; needs volume"
"MOS";"Equity";"Agriculture";"Potash/fertilizer";29,31;1,326;4,53;32,63;30,64;37,27;2,33;2;FALSE;FALSE;FALSE;TRUE;TRUE;"SKIP";"Fertilizer/grain cycle; volume strong but ADX low";"ADX 19 borderline; no trend signal"
"AEM";"Equity";"Precious Metals";"Gold miner";207,54;9,927;4,78;232,36;217,47;267,1;2,33;1;FALSE;FALSE;FALSE;FALSE;TRUE;"SKIP";"Gold $5160/oz; but deep pullback; base building";"DI- dominant; deep pullback -20%+ from high"
"AGI";"Equity";"Precious Metals";"Gold miner";45,85;2,479;5,41;52,05;48,33;60,73;2,33;1;FALSE;FALSE;FALSE;FALSE;TRUE;"SKIP";"Gold royalty upside; MA100 above; wait for re-base";"DI- dominant; low volume"
"CW";"Equity";"Defense";"Aerospace components";656,02;26,993;4,11;723,5;683,01;817,98;2,33;1;FALSE;FALSE;FALSE;FALSE;TRUE;"SKIP";"Aerospace supercycle; volume confirmed; ADX low";"DI- dominant; below 20-day range midpoint"
"HWM";"Equity";"Aerospace";"Aerospace";236,75;7,697;3,25;255,99;244,44;282,93;2,33;1;FALSE;FALSE;FALSE;FALSE;TRUE;"SKIP";"Aerospace/defence; above MA100; pullback mode";"DI- dominant; pullback"
"NEM";"Equity";"Precious Metals";"Gold miner";109,58;5,328;4,86;122,9;114,91;141,55;2,33;1;FALSE;FALSE;FALSE;FALSE;TRUE;"SKIP";"Gold proxy; deep pullback from high; wait";"DI- dominant; at bottom of range"
"RGLD";"Equity";"Precious Metals";"Gold royalty";259,11;11,649;4,5;288,23;270,76;329;2,33;1;FALSE;FALSE;FALSE;FALSE;TRUE;"SKIP";"Gold royalty; above MA100 only; wait";"DI- dominant; at bottom of range"
"WPM";"Equity";"Precious Metals";"Silver royalty";139,87;6,675;4,77;156,56;146,55;179,92;2,33;1;FALSE;FALSE;FALSE;FALSE;TRUE;"SKIP";"Silver/gold royalty; above MA100 only; wait";"DI- dominant; volume low"
"TUR";"Geo ETF";"Turkey";"Turkey monetary easing";38,66;0,699;1,81;40,41;39,36;42,85;2,33;1;FALSE;FALSE;FALSE;FALSE;TRUE;"SKIP";"P/E 7x cheapest EM; TCMB rate cuts; Moody's upgrade Ba3; inflation falling";"Sell signal; DI- dominant; Iran war adjacency; extreme sector concentration; small AUM $238M"
"AFK";"Geo ETF";"Africa";"Pan-Africa commodity";25,37;0,875;3,45;27,56;26,25;30,62;2,33;1;FALSE;FALSE;FALSE;TRUE;FALSE;"SKIP";"GDP-weighted Africa exposure; +83% 1yr; SA+Egypt+Nigeria top holdings; Africa PMI 52.3";"Illiquid AUM $88M; index methodology flaws; down from $30.85 high; multiple currency risks"
"AVAV";"Equity";"Defense";"Drones/UAV";207,07;20,937;10,11;259,41;228;332,69;2,33;0;FALSE;FALSE;FALSE;FALSE;FALSE;"SKIP";"Drone/UAV defense; below MA100; broken";"Below MA100 -24%; broken structure"
"CEG";"Equity";"Utilities";"Nuclear power";301,77;14,289;4,73;337,49;316,06;387,5;2,33;0;FALSE;FALSE;FALSE;FALSE;FALSE;"SKIP";"Nuclear/power; below MA100; broken";"Below MA100 -6%; AI rotation reversal"
"NRG";"Equity";"Utilities";"Power gen";152,87;7,14;4,67;170,72;160,01;195,71;2,33;0;FALSE;FALSE;FALSE;FALSE;FALSE;"SKIP";"Power gen; below MA100; broken";"Below MA100 -4%; utility rotation reversed"
"TLN";"Equity";"Utilities";"Nuclear power";316,14;18,537;5,86;362,48;334,67;427,36;2,33;0;FALSE;FALSE;FALSE;FALSE;FALSE;"SKIP";"Nuclear power; below MA100; broken";"Below MA100 -13%; nuclear selloff"
"VST";"Equity";"Utilities";"Nuclear power";158,95;8,019;5,04;179;166,97;207,07;2,33;0;FALSE;FALSE;FALSE;FALSE;FALSE;"SKIP";"Nuclear power; below MA100; broken";"Below MA100 -6%; nuclear selloff"
"EPOL";"Geo ETF";"Eastern Europe";"Poland NATO defence";34,48;0,766;2,22;36,39;35,24;39,07;2,33;0;FALSE;FALSE;FALSE;FALSE;FALSE;"SKIP";"NATO #1 defence spender 4.8% GDP; EU defence loans ?44bn; financials+copper+energy; P/E 11x";"President vetoed ?44bn EU defence loan bill Mar 12; pullback -11%; Strong Sell signal; Iran energy shock Europe"
"EZA";"Geo ETF";"Africa";"South Africa gold/financials";66,6;2,318;3,48;72,39;68,91;80,5;2,33;0;FALSE;FALSE;FALSE;FALSE;FALSE;"SKIP";"Gold/mining supercycle; SA-China trade normalisation; GNU political stability; +75% 1yr; P/E 10x";"Sharp reversal $81->$66 (-18%); now below MA100; DI- dominant; high beta to ZAR; no tech sector"
